; oligo-analysis  -quick -v 1 -i data/leaderboard/test/HTS_participants.fasta -l 1 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/HTS/HTS_1nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Quick counting mode          
; Oligomer length              	1
; Input file                   	data/leaderboard/test/HTS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/HTS/HTS_1nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	4668011
; Sum of sequence lengths      	186720440
; discarded residues           	NA (quick mode)	 (other letters than ACGT)
; discarded occurrences        	NA (quick mode)	 (contain discarded residues)
; nb possible positions        	NA (quick mode)
; total oligo occurrences      	186720359
; total overlapping occurrences	0
; total non overlapping occ    	186720359
; alphabet size                	4
; nb possible oligomers        	2
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
a	a|t	0.4743399995284	88568935	0	0
c	c|g	0.5256600004716	98151424	0	0
; Host name	core-login3
; Job started	2024-07-13.152212
; Job done	2024-07-13.152253
; Seconds	13.1
;	user	13.1
;	system	0.86
;	cuser	41.08
;	csystem	0.43
