; oligo-analysis  quick -v 1 -i data/leaderboard/test/SMS_participants.fasta -l 1 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/SMS/SMS_1nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	1
; Input file                   	data/leaderboard/test/SMS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/SMS/SMS_1nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	857981
; Sum of sequence lengths      	34319240
; discarded residues           	152	 (other letters than ACGT)
; discarded occurrences        	152	 (contain discarded residues)
; nb possible positions        	34319088
; total oligo occurrences      	34319088
; total overlapping occurrences	0
; total non overlapping occ    	34319088
; alphabet size                	4
; nb possible oligomers        	2
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
a	a|t	0.5163790191627	17721657	0	0
c	c|g	0.4836209808373	16597431	0	0
; Host name	clust-slurm-client2
; Job started	2024-08-02.052252
; Job done	2024-08-02.052452
; Seconds	115.47
;	user	115.47
;	system	4.98
;	cuser	0
;	csystem	0
