#TF	DATASET	SIZE	EXPERIMENT	BOARD	SOURCE_FORMAT	FASTA_SEQ
CREB3L3	UT380-042	36424	SMS	final	fastq	data/final/train/SMS/CREB3L3/UT380-042.fasta
FIZ1	UT380-070-2	1768	SMS	final	fastq	data/final/train/SMS/FIZ1/UT380-070-2.fasta
GCM1	SRR3405056	67116	SMS	final	fastq	data/final/train/SMS/GCM1/SRR3405056.fasta
MKX	UT380-113	7652	SMS	final	fastq	data/final/train/SMS/MKX/UT380-113.fasta
MSANTD1	UT380-114	776	SMS	final	fastq	data/final/train/SMS/MSANTD1/UT380-114.fasta
SP140L	UT380-204-2	8804	SMS	final	fastq	data/final/train/SMS/SP140L/UT380-204-2.fasta
TPRX1	UT380-233-2	1968	SMS	final	fastq	data/final/train/SMS/TPRX1/UT380-233-2.fasta
ZFTA	UT380-025	524	SMS	final	fastq	data/final/train/SMS/ZFTA/UT380-025.fasta
ZNF500	UT380-357	284	SMS	final	fastq	data/final/train/SMS/ZNF500/UT380-357.fasta
ZNF780B	UT380-462	512	SMS	final	fastq	data/final/train/SMS/ZNF780B/UT380-462.fasta
ZNF831	UT380-477	4836	SMS	final	fastq	data/final/train/SMS/ZNF831/UT380-477.fasta
